"year","Region","HabitatType","DepthZone","SID","Reg_SID","Gear","DataSource","FL_cm"
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",25.9734
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",34.7704
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",35.6038
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",35.6038
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",41.808
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",30.9738
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",44.586
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",44.0304
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",45.512
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",48.3826
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",43.9378
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",41.9006
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",78.4776
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",26.066
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",27.8254
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",28.0106
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",28.0106
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",28.4736
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",29.2144
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",29.9552
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",33.474
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",36.252
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",36.252
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",36.4372
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",36.8076
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",37.7336
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",64.6802
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",63.106
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",31.4368
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",31.4368
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",34.9556
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",36.4372
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",36.6224
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",38.1966
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",40.2338
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",40.2338
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",41.4376
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",44.8638
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",30.5108
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",31.159
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",33.1036
"2018","Florida","NR","Unknown","Central","FL_C","ROV","UF",35.0482
